epoch	time	lr	train loss	train acc	testloss	test acc
113	2.88	0.0001	0.00495	99.9	0.0314	99.0
114	2.97	0.0001	0.00503	99.9	0.0321	99.0
115	2.98	0.0001	0.00503	99.9	0.0299	99.1
116	2.47	0.0001	0.00448	99.9	0.0335	99.0
117	2.91	0.0001	0.00479	99.8	0.0312	99.1
118	2.66	0.0001	0.00439	99.9	0.0267	99.2
119	2.66	0.0001	0.00507	99.8	0.0306	99.0
120	2.76	0.0001	0.00483	99.9	0.0275	99.1
121	2.7	0.0001	0.0045	99.9	0.0315	99.0
122	2.74	0.0001	0.00483	99.9	0.0321	99.0
123	2.66	0.0001	0.00515	99.9	0.0284	99.1
124	2.65	0.0001	0.00473	99.9	0.0283	99.2
125	2.95	0.0001	0.0047	99.9	0.03	99.1
126	2.7	0.0001	0.00462	99.9	0.0318	99.1
127	2.71	0.0001	0.00497	99.8	0.0307	99.0
128	2.73	0.0001	0.00422	99.9	0.0313	99.0
129	2.88	0.0001	0.00486	99.9	0.0306	99.0
130	2.85	0.0001	0.00444	99.9	0.032	98.9
131	3.21	0.0001	0.00501	99.8	0.0293	99.0
132	2.93	0.0001	0.00496	99.9	0.0282	99.1
133	2.73	0.0001	0.00489	99.9	0.0325	98.9
134	2.96	0.0001	0.00459	99.9	0.0276	99.2
135	2.9	0.0001	0.00467	99.9	0.0341	99.0
136	2.62	0.0001	0.00465	99.9	0.0286	99.0
137	2.9	0.0001	0.00487	99.9	0.0285	99.1
138	3.01	0.0001	0.0046	99.9	0.0308	99.2
139	3.16	0.0001	0.0049	99.9	0.0309	99.0
140	3.11	0.0001	0.00481	99.9	0.0311	99.0
141	2.96	0.0001	0.00469	99.9	0.0312	99.1
142	2.83	0.0001	0.00451	99.9	0.0315	99.0
143	2.91	0.0001	0.00426	99.9	0.0315	99.1
144	2.83	0.0001	0.00533	99.8	0.0303	99.1
145	2.79	0.0001	0.00445	99.9	0.029	99.1
146	2.69	0.0001	0.00477	99.9	0.032	99.0
147	2.71	0.0001	0.00485	99.9	0.0319	99.1
148	2.74	0.0001	0.00479	99.9	0.0325	99.0
149	2.88	0.0001	0.00464	99.9	0.0302	99.0
